Status;Brand;Model;CPU;RAM;Storage;Storage type;GPU;Screen;Touch;Final Price
New;Asus;ExpertBook;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;100
New;Alurin;Go;Intel Celeron;8;256GB;SSD;Graficos Integrados;15.6;No;299
New;Asus;ExpertBook;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;789
New;MSI;Katana;Intel Core i7;16;1TB;SSD;RTX 3050;15.6;No;1199
New;HP;15S;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;669
New;MSI;Crosshair;Intel Core i7;32;1TB;SSD;RTX 4060;17.3;No;1699
New;Lenovo;ThinkPad;Ryzen 5;8;256GB;SSD;Graficos Integrados;14.0;No;909
New;Asus;VivoBook;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;809
New;Medion;Akoya;Intel Core i5;8;256GB;SSD;Graficos Integrados;15.6;No;519
New;HP;Victus;Intel Core i7;16;512GB;SSD;RTX 3050;16.1;No;1149
New;Lenovo;V15;Intel Celeron;8;256GB;SSD;Graficos Integrados;15.6;No;349
New;MSI;Thin;Intel Core i7;16;1TB;SSD;RTX 4050;15.6;No;1399
New;Asus;ROG;Ryzen 7;16;512GB;SSD;RTX 3050;15.6;No;1199
New;Lenovo;V15;Ryzen 5;16;512GB;SSD;Graficos Integrados;15.6;No;477
New;Lenovo;IdeaPad;Ryzen 3;8;256GB;SSD;Graficos Integrados;15.6;No;391
New;HP;15S;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;699
New;Lenovo;IdeaPad;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;799
New;HP;15S;Intel Core i3;8;512GB;SSD;Graficos Integrados;15.6;No;549
New;Asus;VivoBook;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;769
New;MSI;Thin;Intel Core i7;16;512GB;SSD;RTX 3050;15.6;No;999
New;MSI;Cyborg;Intel Core i5;16;1TB;SSD;RTX 4060;15.6;No;1249
New;Asus;M515UA;Ryzen 7;16;512GB;SSD;Graficos Integrados;15.6;No;789
New;Lenovo;IdeaPad;Ryzen 7;16;512GB;SSD;Graficos Integrados;15.6;No;729
New;Asus;TUF;Intel Core i5;16;512GB;SSD;RTX 3050;15.6;No;1099
New;Acer;Aspire;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;539
New;Asus;TUF;Intel Core i7;16;512GB;SSD;RTX 3050;15.6;No;1179
New;Alurin;Go;Intel Celeron;8;256GB;SSD;Graficos Integrados;14.0;No;239
New;HP;Victus;Intel Core i5;16;512GB;SSD;RTX 3050;15.6;No;999
New;HP;Pavilion;Ryzen 5;16;512GB;SSD;Graficos Integrados;15.6;No;799
New;Lenovo;IdeaPad;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;519
New;HP;15S;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;789
New;MSI;Katana;Intel Core i7;16;512GB;SSD;RTX 4060;15.6;No;1549
New;Asus;VivoBook;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;539
New;HP;15S;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;539
New;MSI;Vector;Intel Core i7;32;1TB;SSD;RTX 4060;17.3;No;2249
New;Asus;VivoBook;Ryzen 7;16;512GB;SSD;RTX 3050;15.6;No;1299
New;Asus;ROG;Ryzen 7;16;512GB;SSD;RTX 3050;15.6;No;1139
New;Asus;Chromebook;Intel Celeron;8;64GB;eMMC;Graficos Integrados;15.6;No;399
New;HP;15S;Intel Core i7;16;512GB;SSD;Graficos Integrados;15.6;No;789
New;HP;15S;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;599
New;HP;Omen;Intel Core i7;32;1TB;SSD;RTX 3060;16.1;No;1699
New;Asus;VivoBook;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;609
New;Asus;ZenBook;Intel Core i7;16;512GB;SSD;Graficos Integrados;13.3;No;1089
New;HP;Victus;Intel Core i7;16;512GB;SSD;RTX 3060;16.1;No;1399
New;HP;15S;Intel Core i7;16;512GB;SSD;Graficos Integrados;15.6;No;899
New;HP;15S;Ryzen 5;12;512GB;SSD;Graficos Integrados;15.6;No;549
New;Lenovo;IdeaPad;Intel Core i5;16;512GB;SSD;RTX 3050;15.6;No;929
New;MSI;Creator;Intel Core i7;32;1TB;SSD;RTX 4050;16.0;No;1899
New;Lenovo;IdeaPad;Ryzen 7;16;512GB;SSD;Graficos Integrados;15.6;No;829
New;HP;15S;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;449
New;Apple;MacBook Air;Apple M1;8;256GB;SSD;Graficos Integrados;13.3;No;1219
New;Lenovo;ThinkBook;Intel Core i5;8;256GB;SSD;Graficos Integrados;14.0;No;699
New;Asus;TUF;Ryzen 7;16;1TB;SSD;RTX 4060;15.6;No;1349
New;MSI;Katana;Intel Core i7;16;1TB;SSD;RTX 4070;15.6;No;1699
New;Asus;M515UA;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;699
New;HP;Victus;Ryzen 7;16;512GB;SSD;RTX 3060;16.1;No;1299
New;HP;250;Intel Celeron;8;256GB;SSD;Graficos Integrados;15.6;No;399
New;HP;Omen;Ryzen 7;16;512GB;SSD;RTX 3050;16.1;No;1149
New;MSI;Modern;Ryzen 5;16;512GB;SSD;Graficos Integrados;15.6;No;839
New;HP;255;AMD Athlon;8;512GB;SSD;Graficos Integrados;15.6;No;379
New;Asus;VivoBook;Intel Core i7;16;512GB;SSD;Graficos Integrados;15.6;No;809
New;Lenovo;V15;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;779
New;Asus;VivoBook;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;749
New;MSI;Thin;Intel Core i5;16;512GB;SSD;RTX 4050;15.6;No;1099
New;MSI;Modern;Intel Core i7;16;1TB;SSD;Graficos Integrados;15.6;No;999
New;HP;15S;Ryzen 7;16;512GB;SSD;Graficos Integrados;15.6;No;64169
New;MSI;Vector;Intel Core i7;32;1TB;SSD;RTX 4070;17.3;No;2499
New;Asus;VivoBook;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;859
New;MSI;Creator;Intel Core i7;32;1TB;SSD;RTX 3050;16.0;No;1499
New;Apple;MacBook Pro;Apple M2;8;256GB;SSD;Graficos Integrados;13.3;No;1599
New;Asus;TUF;Ryzen 9;32;512GB;SSD;RTX 4070;15.6;No;1699
New;MSI;Katana;Intel Core i7;16;1TB;SSD;RTX 4060;15.6;No;1699
New;HP;Victus;Intel Core i7;16;512GB;SSD;RTX 3050;16.1;No;1199
New;MSI;Modern;Intel Core i7;16;1TB;SSD;Graficos Integrados;14.0;No;999
New;MSI;Modern;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;499
New;Lenovo;IdeaPad;Ryzen 3;8;256GB;SSD;Graficos Integrados;15.6;No;499
New;MSI;Prestige;Intel Core i5;16;512GB;SSD;RTX 2050;14.0;No;999
New;Lenovo;IdeaPad;Intel Core i7;16;512GB;SSD;Graficos Integrados;15.6;No;749
New;Lenovo;ThinkBook;Intel Core i5;8;256GB;SSD;Graficos Integrados;15.6;No;879
New;MSI;Prestige;Intel Core i7;16;1TB;SSD;RTX 2050;14.0;No;1489
New;HP;Pavilion;Intel Core i7;16;512GB;SSD;Graficos Integrados;15.6;No;999
New;HP;Victus;Intel Core i5;16;512GB;SSD;GTX 1650;15.6;No;999
New;Lenovo;IdeaPad;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;589
New;Lenovo;ThinkBook;Intel Core i5;8;256GB;SSD;Graficos Integrados;14.0;No;959
New;HP;Victus;Intel Core i5;16;512GB;SSD;GTX 1650;15.6;No;1039
New;Lenovo;IdeaPad;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;599
New;HP;15S;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;739
New;MSI;Stealth;Intel Core i7;32;1TB;SSD;RTX 4060;16.0;No;2449
New;Acer;Aspire;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;839
New;Lenovo;IdeaPad;Ryzen 7;8;512GB;SSD;Graficos Integrados;15.6;No;699
New;MSI;Pulse;Intel Core i9;32;1TB;SSD;RTX 4060;15.6;No;2399
New;Lenovo;IdeaPad;AMD 3020e;4;128GB;SSD;Graficos Integrados;15.6;No;443
New;Lenovo;IdeaPad;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;689
New;Lenovo;IdeaPad;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;749
New;Lenovo;IdeaPad;AMD 3020e;4;256GB;SSD;Graficos Integrados;15.6;No;322
New;MSI;Modern;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;599
New;Asus;ZenBook;Intel Core i7;16;512GB;SSD;Graficos Integrados;13.3;No;1199
New;Asus;TUF;Intel Core i5;16;512GB;SSD;RTX 2050;15.6;No;949
New;Asus;VivoBook;Intel Core i5;16;512GB;SSD;Graficos Integrados;16.0;No;799
New;Razer;Blade;Intel Core i7;16;1TB;SSD;RTX 3070;15.6;No;3300
New;Medion;Akoya;Ryzen 7;8;256GB;SSD;Graficos Integrados;15.6;No;479
New;Asus;ExpertBook;Intel Core i5;8;256GB;SSD;Graficos Integrados;15.6;No;989
New;Lenovo;IdeaPad;Ryzen 3;8;256GB;SSD;Graficos Integrados;15.6;No;440
New;HP;15S;Ryzen 3;8;256GB;SSD;Graficos Integrados;15.6;No;529
New;Asus;VivoBook;Intel Core i7;8;512GB;SSD;Graficos Integrados;16.0;No;709
New;Asus;VivoBook;Ryzen 5;8;512GB;SSD;610 M;15.6;No;510
New;Lenovo;IdeaPad;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;659
New;Lenovo;IdeaPad;Ryzen 7;8;512GB;SSD;Graficos Integrados;15.6;No;589
New;Lenovo;IdeaPad;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;549
New;Lenovo;IdeaPad;Ryzen 3;8;256GB;SSD;Graficos Integrados;15.6;No;459
New;Asus;VivoBook;Intel Core i7;8;512GB;SSD;Graficos Integrados;16.0;No;819
New;Asus;VivoBook;Intel Core i5;8;512GB;SSD;Graficos Integrados;16.0;No;609
New;Asus;ZenBook;Ryzen 7;16;512GB;SSD;Graficos Integrados;14.0;No;999
New;Acer;Aspire;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;739
New;Lenovo;IdeaPad;Intel Core i7;16;512GB;SSD;RTX 3060;15.6;No;1399
New;Asus;VivoBook;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;759
New;Lenovo;IdeaPad;Ryzen 5;16;512GB;SSD;Graficos Integrados;15.6;No;729
New;HP;255;AMD Athlon;8;256GB;SSD;Graficos Integrados;15.6;No;349
New;Lenovo;IdeaPad;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;479
New;HP;255;Ryzen 5;16;512GB;SSD;Graficos Integrados;15.6;No;873
New;Lenovo;IdeaPad;Ryzen 5;8;512GB;SSD;Graficos Integrados;15.6;No;589
New;Asus;Chromebook;Intel Celeron;8;64GB;eMMC;Graficos Integrados;14.0;No;399
New;Lenovo;Legion;Ryzen 7;16;512GB;SSD;RTX 3050;15.6;No;1079
New;Lenovo;IdeaPad;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;64169
New;Lenovo;IdeaPad;Ryzen 7;16;512GB;SSD;RTX 3050;15.6;No;999
New;Lenovo;ThinkBook;Intel Core i5;16;512GB;SSD;Graficos Integrados;14.0;No;1081
New;MSI;Pulse;Intel Core i7;32;1TB;SSD;RTX 3060;17.3;No;1499
New;Apple;MacBook Air;Apple M2;8;256GB;SSD;Graficos Integrados;13.6;No;1519
New;Acer;Aspire;Intel Core i5;8;512GB;SSD;Graficos Integrados;17.3;No;729
New;MSI;Raider;Intel Core i9;32;1TB;SSD;RTX 4060;16.0;No;2599
New;HP;15S;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;699
New;Lenovo;Legion;Intel Core i7;16;512GB;SSD;RTX 3060;15.6;No;1599
New;HP;ProBook;Intel Core i5;8;256GB;SSD;Graficos Integrados;15.6;No;739
New;Asus;VivoBook;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;709
New;Lenovo;IdeaPad;Intel Core i5;16;512GB;SSD;RTX 3050;15.6;No;1059
New;MSI;Modern;Intel Core i5;16;512GB;SSD;Graficos Integrados;14.0;No;799
New;MSI;Modern;Intel Core i7;16;512GB;SSD;Graficos Integrados;14.0;No;999
Refurbished;Lenovo;IdeaPad;Intel Core i7;16;512GB;SSD;Graficos Integrados;15.6;No;899
New;MSI;Pulse;Intel Core i9;32;1TB;SSD;RTX 4070;15.6;No;2299
New;MSI;Stealth;Intel Core i7;32;1TB;SSD;RTX 4060;15.6;No;1899
New;Asus;Chromebook;Intel Celeron;8;64GB;eMMC;Graficos Integrados;14.0;Yes;449
New;Lenovo;V15;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;699
New;Asus;Chromebook;Intel Celeron;8;32GB;SDD;Graficos Integrados;14.0;No;349
New;MSI;Vector;Intel Core i9;32;1TB;SSD;RTX 4080;16.0;No;2599
New;HP;15S;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;579
New;Acer;Aspire;Intel Core i5;8;512GB;SSD;Graficos Integrados;15.6;No;749
New;Asus;ExpertBook;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;549
New;Lenovo;IdeaPad;Ryzen 5;16;512GB;SSD;RTX 3050;15.6;No;979
New;Asus;ZenBook;Ryzen 5;16;512GB;SSD;Graficos Integrados;14.0;No;969
New;Lenovo;IdeaPad;Intel Core i5;16;512GB;SSD;RTX 3050;15.6;No;1099
New;Lenovo;Legion;Intel Core i5;16;512GB;SSD;RTX 3060;15.6;No;1319
New;Lenovo;IdeaPad;Ryzen 5;16;512GB;SSD;Graficos Integrados;14.0;Yes;799
New;Lenovo;IdeaPad;Ryzen 5;16;512GB;SSD;GTX 1650;15.6;No;879
New;MSI;Prestige;Intel Core i7;32;1TB;SSD;RTX 2050;14.0;No;1359
New;Asus;F515;Intel Core i7;8;512GB;SSD;Graficos Integrados;15.6;No;839
New;Gigabyte;G5;Intel Core i5;16;512GB;SSD;RTX 4060;15.6;No;1109
New;HP;Chromebook;Ryzen 3;8;128GB;SSD;Graficos Integrados;14.0;No;579
New;Dell;Vostro;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;599
New;Asus;TUF;Ryzen 7;16;512GB;SSD;RTX 4060;15.6;No;1349
New;MSI;Thin;Intel Core i5;16;512GB;SSD;RTX 3050;15.6;No;999
New;Lenovo;IdeaPad;Intel Core i5;16;512GB;SSD;GTX 1650;15.6;No;829
New;Lenovo;Legion;Intel Core i7;16;1TB;SSD;RTX 3060;15.6;No;1569
New;HP;15S;Ryzen 3;8;512GB;SSD;Graficos Integrados;15.6;No;479
New;HP;255;AMD 3020e;8;256GB;SSD;Graficos Integrados;15.6;No;339
New;Lenovo;IdeaPad;Ryzen 5;16;512GB;SSD;GTX 1650;15.6;No;779
New;Medion;Akoya;Ryzen 5;4;256GB;SSD;Graficos Integrados;14.0;No;499
New;Asus;VivoBook;Intel Core i3;8;256GB;SSD;Graficos Integrados;14.0;No;459
Refurbished;Asus;ROG;Ryzen 7;16;1TB;SSD;RTX 3060;15.6;No;1899
New;MSI;Modern;Intel Core i5;16;512GB;SSD;Graficos Integrados;15.6;No;819
New;HP;15S;Ryzen 7;12;512GB;SSD;Graficos Integrados;15.6;No;749
New;Lenovo;IdeaPad;Qualcomm Snapdragon 7;8;128GB;eMMC;Graficos Integrados;13.3;Yes;599
New;Acer;Nitro;Ryzen 5;16;1TB;SSD;RTX 3050;15.6;No;1199
New;Lenovo;V15;Intel Core i3;8;512GB;SSD;Graficos Integrados;15.6;No;449
New;MSI;Prestige;Intel Core i7;32;1TB;SSD;RTX 4060;16.0;No;1999
New;HP;15S;AMD 3020e;4;128GB;SSD;Graficos Integrados;15.6;No;379
New;Lenovo;IdeaPad;Intel Core i3;8;256GB;SSD;Graficos Integrados;15.6;No;529
New;LG;Gram;Intel Evo Core i7;16;512GB;SSD;Graficos Integrados;17.0;No;1799
New;MSI;Prestige;Intel Core i7;32;1TB;SSD;RTX 4050;16.0;No;1999
New;Asus;E410;Intel Celeron;4;64GB;eMMC;Graficos Integrados;14.0;No;349
New;HP;Omen;Intel Core i7;32;1TB;SSD;RTX 4060;17.3;No;1799
